X Y
-20.00 -60.40
-25.00 -59.50
-30.00 -58.00
-35.00 -55.00
-40.00 -50.00
-45.00 -45.00
-50.00 -35.00
-52.00 -15.00
-52.46 39.64
-52.50 117.50
-48.30 121.30
-10.26 122.87
-10.00 122.87
-7.21 123.00
-7.00 125.00
-6.80 130.00
-6.60 135.00
-6.50 140.00
-6.30 150.00
-6.00 160.00
-5.50 180.00
-4.50 190.00
-3.56 223.10
-4.10 224.50
-4.50 225.00
-5.00 225.50
-6.00 226.00
-10.00 229.00
-15.00 229.50
-20.00 229.00
-25.00 228.50
-30.00 228.00
-35.00 227.50
-40.00 225.00
-45.00 220.00
-50.00 210.00
-52.00 200.00
-52.20 121.16
-52.04 50.51
-48.04 46.51
-10.00 45.32
-9.56 45.32
-8.01 44.37
-7.00 40.00
-6.50 37.00
-6.00 34.00
-5.00 30.00
-4.50 20.00
-4.00 10.00
-3.50 -10.00
-3.00 -30.00
-2.30 -59.00
-2.30 -59.50
-2.46 -63.00
1.00 -63.50
4.74 -63.90
4.94 -63.90
